Title,Release Date,Language,Hero,Heroine
Aatagallu,24-08-2018,Telugu,Nara Rohith,Darshana Banik
Tharuvatha Evaru,03-08-2018,Telugu,Kamal Kamaraju,Priyanka Sharma
Ammammagarillu,24-05-2018,Telugu,Naga Shaurya,Shamili
My Dear Marthandam,29-12-2018,Telugu,Prudhviraj,Kalpika Ganesh
Happy Wedding,28-07-2018,Telugu,Sumanth Ashwin,Niharika Konidela
Needi Naadi Oke Katha,23-03-2018,Telugu,Sree Vishnu,Satna Titus
Idi Naa Love Story,14-02-2018,Telugu,Tarun,Oviya Helen
W/O Ram,20-07-2018,Telugu,Srikanth,Lakshmi Manchu
Anaganaga O Premakatha,14-12-2018,Telugu,,Riddhi Kumar
Manyam,03-08-2018,Telugu,Chammak Chandra,Varsha Bollamma
Natakam,28-09-2018,Telugu,Ashish Gandhi,Ashima Narwal
Pedavi Datani Matokatundhi,27-07-2018,Telugu,Naresh,
Bhale Manchi Chowka Beram,05-10-2018,Telugu,Raja Ravindra,Yamini Bhaskar
24 Kisses,23-11-2018,Telugu,Thrigun,Hebah Patel
Ee Maaya Peremito,21-09-2018,Telugu,Rahul Vijay,Kavya Thapar
Ye Mantram Vesave,09-03-2018,Telugu,Vijay Deverakonda,Shivani Singh
Aatagadharaa Siva,20-07-2018,Telugu,Doddanna,
Ego,19-01-2018,Telugu,Aashish Raj,Diksha Panth
Subramanyapuram,06-12-2018,Telugu,Sumanth,Eesha Rebba
Manu,07-09-2018,Telugu,Raja Goutham,Chandini Chowdary
Enduko Emo,16-03-2018,Telugu,Nandu Vijay Krishna,Punarnavi Bhupalam
A House of Time Traps,22-06-2018,Telugu,,
Desamlo Dongalu Paddaru,04-10-2018,Telugu,Ali Basha,Tanishq Rajan
Dhoolpet Ganesha,01-06-2018,Telugu,,
Juvva,23-02-2018,Telugu,,Palak Lalwani
Sameeram,31-08-2018,Telugu,Getup Srinu,Amrita Acharia
Show Time,25-12-2018,Telugu,,Rukshar Dhillon
Subhalekha+lu,07-12-2018,Telugu,,Mona Kakade
Anthaku Minchi,24-08-2018,Telugu,Ravi Prakash,Rashmi Gautham
Rangu,23-11-2018,Telugu,Tanish Alladi,
Sivakasipuram,03-08-2018,Telugu,Chammak Chandra,Priyanka Sharma
U kathe hero,28-12-2018,Telugu,,Lahari Shari
Dr Prasad c/o sitara,01-01-2018,Telugu,Jeeva,
Aghora,06-07-2018,Telugu,Nagendra Babu,
Hot Neighbor Next Door,17-01-2018,Telugu,,
Anthervedam,21-09-2018,Telugu,Posani Krishna Murali,
Rachayitha,16-02-2018,Telugu,,Sanchita Padukone
A Strange Tale,23-09-2018,Telugu,Mohan Bhagath,Thanmai Bolt
Sri Chilukuru Balaji,01-01-2018,Telugu,Sai Kumar,
Operation 2019,01-12-2018,Telugu,Srikanth,
Bewars,12-10-2018,Telugu,,
Shambo Shankara,28-06-2018,Telugu,,
Premanjali,17-08-2018,Telugu,,
Best Lovers,08-06-2018,Telugu,,
Greedy Boy 'n' Magical Cap,04-05-2018,Telugu,,
Time Robber,16-03-2018,Telugu,Jafar Ahammad Shaik,
Sanjeevani,29-06-2018,Telugu,,
Murder @ 10 AM,29-03-2018,Telugu,,
Rakshasudu,18-07-2019,Telugu,Bellamkonda Srinivas,Anupama Parameswaran
Saaho,29-08-2019,Telugu,Prabhas,Shraddha Kapoor
Jessie,15-03-2019,Telugu,Kabir Duhan Singh,Ashima Narwal
Jersey,19-04-2019,Telugu,Nani,Shraddha Srinath
Maharshi,09-05-2019,Telugu,Mahesh Babu,Pooja Hegde
Nani's Gang Leader,13-09-2019,Telugu,Nani,Lakshmi
Dear Comrade,26-07-2019,Telugu,Vijay Deverakonda,Rashmika Mandanna
90ML,06-12-2019,Telugu,Kartikeya Gummakonda,Neha Solanki
Sye Raa Narasimha Reddy,27-09-2019,Telugu,Chiranjeevi,Nayanthara
Vinaya Vidheya Rama,11-01-2019,Telugu,Ram Charan,Kiara Advani
Evaru,15-08-2019,Telugu,Adivi Sesh,Regina Cassandra
Yatra,08-02-2019,Telugu,Mammootty,Suhasini Maniratnam
Mr. Majnu,25-01-2019,Telugu,Akhil Akkineni,Nidhhi Agerwal
Sita,24-05-2019,Telugu,Bellamkonda Srinivas,Kajal Agarwal
Majili,05-04-2019,Telugu,Naga Chaitanya Akkineni,Samantha Ruth Prabhu
Dorasaani,12-07-2019,Telugu,Anand Deverakonda,Shivathmika
iSmart Shankar,18-07-2019,Telugu,Ram Pothineni,Nidhhi Agerwal
Agent Sai Srinivasa Athreya,21-06-2019,Telugu,Naveen Polishetty,Shruti Sharma
Mathu Vadalara,25-12-2019,Telugu,Sri Simha,Pavala Shyamala
Oh! Baby,04-07-2019,Telugu,Rajendra Prasad,Samantha Ruth Prabhu
F2: Fun and Frustration,12-01-2019,Telugu,Venkatesh,Tamannaah Bhatia
Tenali Ramakrishna BA.BL,15-11-2019,Telugu,Sundeep Kishan,Hansika Motwani
Falaknuma Das,12-04-2019,Telugu,Vishwak Sen,Harshita Gaur
Chanakya,31-10-2019,Telugu,Gopichand,Mehreen Pirzada
Lakshmi's NTR,29-03-2019,Telugu,Rajsekhar Aningi,Yagna Shetty
Ninu Veedani Needanu Nene,12-07-2019,Telugu,Sundeep Kishan,Anya Singh
Ranarangam,15-08-2019,Telugu,Sharwanand,Kajal Agarwal
N.T.R: Kathanayakudu,09-01-2019,Telugu,Nandamuri Balakrishna,Vidya Balan
Chikati Gadilo Chithakotudu,22-03-2019,Telugu,Thrigun,Nikki Tamboli
Manmadhudu 2,09-08-2019,Telugu,Nagarjuna Akkineni,Rakul Preet Singh
Brochevarevarura,28-06-2019,Telugu,Sree Vishnu,Nivetha Thomas
Venky Mama,13-12-2019,Telugu,Venkatesh,Raashii Khanna
Ruler,20-12-2019,Telugu,Nandamuri Balakrishna,Sonal Chauhan
Amma Rajyam Lo Kadapa Biddalu,12-12-2019,Telugu,Ajmal Ameer,Swapna
Tholu Bommalata,22-11-2019,Telugu,Viswant Duddumpudi,Harshitha Chowdary
Raja Vaaru Rani Gaaru,29-11-2019,Telugu,Kiran Abbavaram,Ragasiya Gorak
George Reddy,22-11-2019,Telugu,Sandeep Madhav,Muskaan Khubchandani
Software Sudheer,28-12-2019,Telugu,Prudhviraj,Dhanya Balakrishna
Raju Gari Gadhi 3,18-10-2019,Telugu,Ashwin Babu,Avika Gor
Kalki,28-06-2019,Telugu,Dr. Rajasekhar,Adah Sharma
Hippi,06-06-2019,Telugu,Kartikeya Gummakonda,Digangana Suryavanshi
Thipparaa Meesam,08-11-2019,Telugu,Sree Vishnu,Rohini
Mallesham,21-06-2019,Telugu,Priyadarshi Pullikonda,Jhansi
Guna 369,02-08-2019,Telugu,Kartikeya Gummakonda,Anagha
Gaddalakonda Ganesh,19-09-2019,Telugu,Varun Tej,Mirnalini Ravi
Jodi,02-09-2019,Telugu,Aadi Saikumar,Shraddha Srinath
Ragala 24 Gantallo,22-11-2019,Telugu,Satyadev Kancharana,Eesha Rebba
Kousalya Krishnamurthy,23-08-2019,Telugu,Rajendra Prasad,Aishwarya Rajesh
118,28-02-2019,Telugu,Kalyan Ram,Nivetha Thomas
Seven,05-06-2019,Telugu,Havish,Regina Cassandra
Chitralahari,13-04-2019,Telugu,Sai Durgha Tej,Kalyani Priyadarshan
N.T.R: Mahanayakudu,06-02-2019,Telugu,Nandamuri Balakrishna,Vidya Balan
1st Rank Raju,21-06-2019,Telugu,Chetan Maddineni,Kashish Vohra
Iddari Lokam Okate,25-12-2019,Telugu,Raj Tarun,Shalini Pandey
RDX Love,11-10-2019,Telugu,Tejus Kancherla,Payal Rajput
Rajdooth,12-07-2019,Telugu,Meghamsh Srihari,Nakshatra
Where Is The Venkatalakshmi,15-03-2019,Telugu,Ram Karthik,Pujita Ponnada
Prati Roju Pandaage,20-12-2019,Telugu,Sai Durgha Tej,Raashii Khanna
Operation Gold Fish,18-10-2019,Telugu,Aadi Saikumar,Nithya Naresh
Raghupathi Venkaiah Naidu,29-11-2019,Telugu,Naresh,
Vajra Kavachadhara Govinda,14-06-2019,Telugu,Saptagiri,Vaibhavi Joshi
Voter,21-06-2019,Telugu,Vishnu Manchu,Surbhi
Aaviri,01-11-2019,Telugu,Ravi Babu,Neha Chauhan
Bhagya Nagara Veedhullo Gammathu,06-12-2019,Telugu,Srinivasa Reddy,Dollysha
Special,21-06-2019,Telugu,Ajay,Sai Akshitha
Suryakantham,29-03-2019,Telugu,Rahul Vijay,Niharika Konidela
Vinara Sodara Veera Kumara,22-03-2019,Telugu,Srinivasa Sayee,Priyanka Jain
Boy,23-08-2019,Telugu,Lakshya Sinha,Sahiti
Evvarikee Cheppoddu,08-10-2019,Telugu,Keshav Deepak,Gargeyi Yellapragada
Arjun Suravaram,29-03-2019,Telugu,Nikhil Siddhartha,Lavanya Tripathi
Burra Katha,29-06-2019,Telugu,Aadi Saikumar,Mishti Chakravarty
Dhrushti,25-07-2019,Telugu,Rahul Ravindran,Pavani Gangireddy
Crazy Crazy Feeling,01-03-2019,Telugu,Vennela Kishore,Palak Lalwani
ABCD: American-Born Confused Desi,16-05-2019,Telugu,Allu Sirish,Rukshar Dhillon
Prema Janta,28-06-2019,Telugu,Raja Ravindra,
Madhanam,06-12-2019,Telugu,Tanikella Bharani,Sithara
Vishwamitra,14-06-2019,Telugu,Satyam Rajesh,Nandita Raj
2 Hours Love,06-09-2019,Telugu,Tanikella Bharani,
Kathanam,09-08-2019,Telugu,Srinivas Avasarala,Anasuya Bharadwaj
Magnet,15-03-2019,Telugu,Abhinav Sardar,Sakshi Chaudhary
Edaina Jaragocchu,23-08-2019,Telugu,Bobby Simha,Sasha Singh
Prema Katha Chitram 2,06-04-2019,Telugu,Sumanth Ashwin,Nandita Swetha
Yedu Chepala Kadha,07-11-2019,Telugu,,
Ninnu Thalachi,27-09-2019,Telugu,,Stefy Patel
Mithai,22-02-2019,Telugu,Rahul Ramakrishna,Swetaa Varma
Malli Malli Chusa,18-10-2019,Telugu,Ajay,Kairavi Thakkar
Romantic Criminals,17-05-2019,Telugu,K Vinay,Mounika
Mouname Ishtam,15-03-2019,Telugu,Ram Karthik,Parvathy Arun
Kobbari Matta,10-08-2019,Telugu,Sampoornesh Babu,Ishika Singh
The Blood,25-12-2019,Telugu,Banerjee,Madhu Shalini
Sivaranjani,02-08-2019,Telugu,Nandu Vijay Krishna,Rashmi Gautham
Evadu Thakkuva Kaadu,24-05-2019,Telugu,Madhusudhan Rao,Tara
Nene Mukyamantri,02-08-2019,Telugu,,Shaheen Khan
Krishna Rao Supermarket,18-10-2019,Telugu,Tanikella Bharani,
Rahasyam,01-02-2019,Telugu,Sagar Sailesh,Sri Rithika
Heza,12-12-2019,Telugu,Nutan Naidu,Mumaith Khan
Kothaga Maa Prayanam,25-01-2019,Telugu,Jeeva,Yamini Bhaskar
Mis(s) Match,06-12-2019,Telugu,Uday Shankar,Aishwarya Rajesh
Thupaki Ramudu,25-10-2019,Telugu,Bitthiri Satthi,
Prema Antha Easy Kadu,29-03-2019,Telugu,Kedar Shankara,
Bilalpur Police Station,15-03-2019,Telugu,Maganti Srinath,Saanve Meghana
Darpanam,06-09-2019,Telugu,,
Rama Chakkani Seetha,27-09-2019,Telugu,,
Nivaasi,23-08-2019,Telugu,Shekhar Varma,Viviya Santh
Nenu Na Nagarjuna,20-10-2019,Telugu,Mahesh Achanta,
Beach Road Chetan,22-11-2019,Telugu,Chetan Maddineni,
Nenu Lenu,26-07-2019,Telugu,,
Hawaa,23-08-2019,Telugu,,Divi Prasanna
Bailampudi,27-07-2019,Telugu,,
TEARS of AaMIN,16-06-2019,Telugu,Jafar Ahammad Shaik,
Nenu Aadhi Madyalo Maa Nanna,01-01-2019,Telugu,Manoj Nandam,Renuka
Diksoochi,16-08-2019,Telugu,Sammeta Gandhi,
Undiporaadhey,06-09-2019,Telugu,,
Ala Vaikunthapurramuloo,12-01-2020,Telugu,Allu Arjun,Pooja Hegde
V,05-09-2020,Telugu,Nani,Nivetha Thomas
World Famous Lover,14-02-2020,Telugu,Vijay Deverakonda,Raashii Khanna
Krishna and His Leela,24-06-2020,Telugu,Siddhu Jonnalagadda,Shraddha Srinath
Bheeshma,21-02-2020,Telugu,Nithiin,Rashmika Mandanna
Sarileru Neekevvaru,10-01-2020,Telugu,Mahesh Babu,Vijayashanti
HIT: The First Case,28-02-2020,Telugu,Vishwak Sen,Ruhani Sharma
Jaanu,06-02-2020,Telugu,Sharwanand,Samantha Ruth Prabhu
Miss India,04-10-2020,Telugu,Jagapati Babu,Keerthy Suresh
Middle Class Melodies,20-11-2020,Telugu,Anand Deverakonda,Varsha Bollamma
Dirty Hari,18-12-2020,Telugu,Darbha Appaji Ambarisha,Ruhani Sharma
Disco Raja,24-01-2020,Telugu,Ravi Teja,Payal Rajput
Meka Suri,31-07-2020,Telugu,Abhinay,
Nishabdham,02-10-2020,Telugu,R. Madhavan,Anushka Shetty
Orey Bujjiga,01-10-2020,Telugu,Raj Tarun,Malavika Nair
3 Monkeys,07-02-2020,Telugu,Getup Srinu,Karunya Chowdary
Solo Brathuke So Better,24-12-2020,Telugu,Sai Durgha Tej,Nabha Natesh
Maguva,05-09-2020,Telugu,,
Colour Photo,23-10-2020,Telugu,Suhas,Chandini Chowdary
Anukunnadhi Okkati Aynadhi Okkati,06-03-2020,Telugu,Madhunandan,Dhanya Balakrishna
Pressure Cooker,21-02-2020,Telugu,Sai Ronak,Preethi Asrani
Aswathama,31-01-2020,Telugu,Naga Shaurya,Mehreen Pirzada
Johaar,14-08-2020,Telugu,Chaitanya Krishna,Naina Ganguly
Madha,13-03-2020,Telugu,Venkat Rahul,Trishna Mukherjee
Dhira,14-11-2020,Telugu,Vijay Sethupathi,
Raahu,28-02-2020,Telugu,Aberaam Varma,Spoorthi Vedula
Bhanumathi & Ramakrishna,03-07-2020,Telugu,Naveen Chandra,Salony Luthra
4 Letters,22-02-2020,Telugu,Dhanraj Sukhram,Apsara Rani
Narthanasala,24-10-2020,Telugu,Nandamuri Balakrishna,Soundarya
Palasa 1978,06-03-2020,Telugu,Rakshith Atluri,Nakshatra
Murder,24-12-2020,Telugu,Srikanth Iyengar,Gayatri Bhargavi
Anaganaga O Athidhi,20-11-2020,Telugu,Chaitanya Krishna,Payal Rajput
Degree College,07-02-2020,Telugu,Varun Kamal,Gummadi Jaya Vani
O Pitta Katha,06-03-2020,Telugu,Viswant Duddumpudi,Nitya Shetty
Bombhaat,03-12-2020,Telugu,Sai Sushanth Reddy,Simran Choudhary
Choosi Choodangaane,31-01-2020,Telugu,Shiva Kandukuri,Varsha Bollamma
Maa Vintha Gaadha Vinuma,13-11-2020,Telugu,Kamal Kamaraju,Seerat Kapoor
Uma Maheswara Ugra Roopasya,30-07-2020,Telugu,Satyadev Kancharana,Roopa Koduvayur
Naked,27-06-2020,Telugu,,
Run,29-05-2020,Telugu,Navdeep,Pujita Ponnada
Valayam,21-02-2020,Telugu,Kireeti Damaraju,Digangana Suryavanshi
Gatham,06-11-2020,Telugu,Uss Uppuluri,
Prema Pipasi,13-03-2020,Telugu,Suman Talwar,
Antharatma 3,09-11-2020,Telugu,,
Vitamin She,29-12-2020,Telugu,,Prachi Thaker
Guvva Gorinka,17-12-2020,Telugu,Satyadev Kancharana,Priyaa Lal
Entha Manchivaadavuraa,15-01-2020,Telugu,Kalyan Ram,Mehreen Pirzada
302,12-03-2020,Telugu,Vennela Kishore,
Beautiful,06-01-2020,Telugu,Parth Suri,Naina Ganguly
Metro Kathalu,14-08-2020,Telugu,Rajiv Kanakala,Gayatri Bhargavi
Eureka,13-03-2020,Telugu,Brahmaji,Dimple Hayathi
Shiva 143,14-02-2020,Telugu,Sagar Sailesh,Yeisha Adaraha
Antharatma (The Inner Soul),24-03-2020,Telugu,,
Amaram Akhilam Prema,18-09-2020,Telugu,Keshav Deepak,
Meka Suri 2,27-11-2020,Telugu,Abhinay,Lirisha Kunapareddy
IIT Krishnamurthy,10-12-2020,Telugu,Satya,
Life Anubavinchu Raja,14-02-2020,Telugu,Ravi Teja Nannimala,Shruti Sharan Shetty
Shivan,13-03-2020,Telugu,Sai Teja Kalvakota,
Neevalle Nenunna,07-02-2020,Telugu,Jabardasth Ramprasad,Sri Pallavi
Nirbandham,06-10-2020,Telugu,,
Coronavirus,11-12-2020,Telugu,Keshav Deepak,
Asalu Em Jarigindhante,02-08-2020,Telugu,Mahendran,Sri Pallavi
Oka Chinna Viramam,14-02-2020,Telugu,Naveen Neni,Punarnavi Bhupalam
Savaari,07-02-2020,Telugu,Nandu Vijay Krishna,Priyanka Sharma
Murder,24-12-2020,Telugu,,
Screenplay of an Indian Love Story,06-03-2020,Telugu,,
My Sister's Friend,25-12-2020,Telugu,,
Bucchinaidu Kandriga,21-08-2020,Telugu,Ravi Varma Adduri,
Cheema Prema Madhyalo Bhama,21-02-2020,Telugu,,
Beer Fiction,04-05-2020,Telugu,Pawan Ramesh,
Thriller,14-08-2020,Telugu,,Apsara Rani
Manasanamaha,16-08-2020,Telugu,Viraj Ashwin,
I Have A Cinema,25-12-2020,Telugu,,
Parannageevi,25-07-2020,Telugu,Shakalaka Shankar,
Raju Gari Kidnap,05-04-2020,Telugu,,
Brave Spirit,18-06-2020,Telugu,Jafar Ahammad Shaik,
An Apparition,23-04-2020,Telugu,,
Oka Chinna Prema Katha,03-09-2020,Telugu,,
Saradhi,10-07-2020,Telugu,,
Erra Cheera,12-09-2020,Telugu,,Sonakshi Verma
Pushpa: The Rise - Part 1,16-12-2021,Telugu,Allu Arjun,Rashmika Mandanna
Ninnila Ninnila,26-02-2021,Telugu,Ashok Selvan,Ritu Varma
Raja Vikramarka,12-11-2021,Telugu,Kartikeya Gummakonda,Tanya Ravichandran
Nootokka Jillala Andagadu,03-09-2021,Telugu,Srinivas Avasarala,Ruhani Sharma
Uppena,12-02-2021,Telugu,Panja Vaisshnav Tej,Krithi Shetty
Tuck Jagadish,09-09-2021,Telugu,Nani,Ritu Varma
Shyam Singha Roy,24-12-2021,Telugu,Nani,Sai Pallavi
Thimmarusu: Assignment Vali,30-07-2021,Telugu,Satyadev Kancharana,Priyanka Jawalkar
Jathi Ratnalu,11-03-2021,Telugu,Naveen Polishetty,Faria Abdullah
Wild Dog,02-04-2021,Telugu,Nagarjuna Akkineni,Dia Mirza
Akhanda,02-12-2021,Telugu,Nandamuri Balakrishna,Pragya Jaiswal
Mugguru Monagallu,06-08-2021,Telugu,Srinivasa Reddy,Swetaa Varma
Red,14-01-2021,Telugu,Ram Pothineni,Nivetha Pethuraj
Maaya,27-05-2021,Telugu,,
Zombie Reddy,05-02-2021,Telugu,Teja Sajja,Anandhi
Narappa,20-07-2021,Telugu,Venkatesh,Priyamani
Pelli SandaD,15-10-2021,Telugu,Roshan Meka,Sreeleela
Most Eligible Bachelor,15-10-2021,Telugu,Akhil Akkineni,Pooja Hegde
Check,20-02-2021,Telugu,Nithiin,Rakul Preet Singh
A1 Express,05-03-2021,Telugu,Sundeep Kishan,Lavanya Tripathi
Sundari,13-08-2021,Telugu,Rakendu Mouli,Poorna
Vakeel Saab,09-04-2021,Telugu,Pawan Kalyan,Shruti Haasan
Romantic,29-10-2021,Telugu,Akash Puri,Ketika Sharma
Vivaha Bhojanambu,27-08-2021,Telugu,Satya,Aarjavee
Ek Mini Katha,27-05-2021,Telugu,Santosh Shoban,Kavya Thapar
Manchi Rojulochaie,04-11-2021,Telugu,Santosh Shoban,Mehreen Pirzada
Republic,01-10-2021,Telugu,Sai Durgha Tej,Ramya Krishnan
Ichata Vahanamulu Nilupa Radu,27-08-2021,Telugu,Sushanth,Meenakshi Chaudhary
G-Zombie,05-02-2021,Telugu,Aryan Gowra,
Thellavarithe Guruvaram,26-03-2021,Telugu,Sri Simha,Chitra Shukla
Shaadi Mubarak,05-03-2021,Telugu,RJ Hemant,Drishya Raghunath
Drushyam 2,25-11-2021,Telugu,Venkatesh,Meena
Maestro,17-09-2021,Telugu,Nithiin,Nabha Natesh
Love Story,24-09-2021,Telugu,Naga Chaitanya Akkineni,Sai Pallavi
Power Play,05-03-2021,Telugu,Raj Tarun,Hemal ingle
Kapatadhaari,19-02-2021,Telugu,Sumanth,Nandita Swetha
Gaali Sampath,11-03-2021,Telugu,Rajendra Prasad,Ashya
Alludu Adhurs,14-01-2021,Telugu,Bellamkonda Srinivas,Nabha Natesh
Pushpaka Vimanam,12-11-2021,Telugu,Anand Deverakonda,Saanve Meghana
Crrush,09-07-2021,Telugu,Abhay Simha Reddy,
FCUK: Father Chitti Umaa Kaarthik,12-02-2021,Telugu,Jagapati Babu,Ammu Abhirami
Krack,09-01-2021,Telugu,Ravi Teja,Shruti Haasan
Lakshya,10-12-2021,Telugu,Naga Shaurya,Ketika Sharma
Naandhi,19-02-2021,Telugu,Allari Naresh,Varalaxmi Sarathkumar
Maa Oori Polimera,10-12-2021,Telugu,Satyam Rajesh,Kamakshi Bhaskarla
Paagal,20-08-2021,Telugu,Vishwak Sen,Nivetha Pethuraj
Skylab,04-12-2021,Telugu,Satyadev Kancharana,Nithya Menen
Mosagallu,19-03-2021,Telugu,Vishnu Manchu,Kajal Agarwal
Varudu Kaavalenu,29-10-2021,Telugu,Naga Shaurya,Ritu Varma
Aaradugula Bullet,08-10-2021,Telugu,Gopichand,Nayanthara
Maha Samudram,14-10-2021,Telugu,Sharwanand,Aditi Rao Hydari
Rang De,26-03-2021,Telugu,Nithiin,Keerthy Suresh
Back Door,18-12-2021,Telugu,,Poorna
Poster,19-11-2021,Telugu,Shivaji Raja,Raashi Singh
Konda Polam,08-10-2021,Telugu,Panja Vaisshnav Tej,Rakul Preet Singh
April 28th Em Jarigindi,27-02-2021,Telugu,Raja Ranjith Elchuri,Sherry Agarwal
Gully Rowdy,17-09-2021,Telugu,Sundeep Kishan,Neha Shetty
Climax,05-03-2021,Telugu,Rajendra Prasad,Sasha Singh
SR Kalyanamandapam,06-08-2021,Telugu,Kiran Abbavaram,Priyanka Jawalkar
Cinema Bandi,14-05-2021,Telugu,Rag Mayur,
Kanabadutaledu,19-08-2021,Telugu,Sunil Varma,Vaishali Raj
Mail,12-01-2021,Telugu,Priyadarshi Pullikonda,Sri Gouri Priya Reddy
Eakam,29-10-2021,Telugu,Aberaam Varma,Aditi Myakal
Sorry DAD,26-06-2021,Telugu,,
#Bro,26-11-2021,Telugu,Naveen Chandra,Avika Gor
1997,26-11-2021,Telugu,Dr. Mohan,Sandhyarani Ravupalli
Anubhavinchu Raja,26-11-2021,Telugu,Raj Tarun,Kashish Khan
Play Back,05-03-2021,Telugu,Dinesh Tej,Ananya Nagalla
Lawyer Viswanath,26-02-2021,Telugu,Ali Basha,Niya Sankranthil
30 Rojullo Preminchadam Ela?,29-01-2021,Telugu,Pradeep Machiraju,Amritha Aiyer
Heads & Tales,22-10-2021,Telugu,Sunil Varma,Sri Vidya Maharshi
Idhe Maa Katha,01-10-2021,Telugu,Srikanth,Bhumika Chawla
Ram Asur,19-11-2021,Telugu,Abhinav Sardar,Chandhini Tamilarasan
Akshara,26-02-2021,Telugu,Sanjay Swaroop,Nandita Swetha
Thank You Brother!,07-05-2021,Telugu,Viraj Ashwin,Anasuya Bharadwaj
Sreekaram,11-03-2021,Telugu,Sharwanand,Priyanka Arul Mohan
Super Over,22-01-2021,Telugu,Naveen Chandra,Chandini Chowdary
Chaavu Kaburu Challaga,19-03-2021,Telugu,Kartikeya Gummakonda,Lavanya Tripathi
Seetimaarr,10-09-2021,Telugu,Gopichand,Tamannaah Bhatia
WWW,24-12-2021,Telugu,Thrigun,Shivani Rajashekar
Plan B,17-09-2021,Telugu,Srinivasa Reddy,Naveena Reddy
MAD,23-04-2021,Telugu,Rajath Raghav,Spandana Palli
Nireekshana,05-03-2021,Telugu,Sai Ronak,Ena Saha
Raja Raja Chora,19-08-2021,Telugu,Sree Vishnu,Megha Akash
Natyam,22-10-2021,Telugu,Kamal Kamaraju,Sandhya Raju
Gamanam,10-12-2021,Telugu,Shiva Kandukuri,Shriya Saran
Senapathi,31-12-2021,Telugu,Rajendra Prasad,Gnaneswari Kandregula
Raani,09-02-2021,Telugu,Prawin Yendamuri,Swetaa Varma
Ippudu Kaaka Inkeppudu,06-08-2021,Telugu,Hasavanth Vanga,Nuveksha
Ee Kathalo Paathralu Kalpitam,26-03-2021,Telugu,Pavan Tej Konidela,I Dream Anjali
Sridevi Soda Center,27-08-2021,Telugu,Sudheer Babu,Anandhi
Sashi,19-03-2021,Telugu,Aadi Saikumar,Surbhi
Kshana Kshanam,26-02-2021,Telugu,Uday Shankar,Jia Sharma
Tempt Raja,16-04-2021,Telugu,,
Savitri W/O Satyamurthy,19-11-2021,Telugu,Parvateesam,Srilakshmi
Ardha Shathabdham,11-06-2021,Telugu,Karthik Rathnam,Pavitra Lokesh
Salt,16-03-2021,Telugu,,Rishika Singh
Chalo Premiddam,19-11-2021,Telugu,Sai Ronak,Neha Solanki
NET,10-09-2021,Telugu,Rahul Ramakrishna,Avika Gor
Annapurnamma Gari Manavadu,04-02-2021,Telugu,Jeeva,Annapoorna
Arjuna Phalguna,31-12-2021,Telugu,Sree Vishnu,Amritha Aiyer
Family Drama,29-10-2021,Telugu,Suhas,Pooja Kiran
Deyyam,12-04-2021,Telugu,Dr. Rajasekhar,
Merise Merise,06-08-2021,Telugu,Dinesh Tej,Shweta Avasthi
Adbhutham,19-11-2021,Telugu,Teja Sajja,Shivani Rajashekar
A (Ad Infinitum),05-03-2021,Telugu,Nithin Prasanna,Preethi Asrani
Amma Deevena,30-07-2021,Telugu,Posani Krishna Murali,Sri Pallavi
Ishq,30-07-2021,Telugu,Teja Sajja,Priya Prakash Varrier
Crazy Uncles,19-08-2021,Telugu,Mano,Sreemukhi
Saranam Gacchami,10-12-2021,Telugu,Naveen Sanjay,Tanishq Rajan
Y,02-04-2021,Telugu,Srikanth,Deviyyani Sharma
Bangaru Bullodu,23-01-2021,Telugu,Allari Naresh,Pooja Jhaveri
TRUE,30-04-2021,Telugu,Madhusudhan Rao,
Shukra,23-04-2021,Telugu,Arvind Krishna,Srijitha Ghosh
Jai Sena,29-01-2021,Telugu,Srikanth,
MMOF,26-02-2021,Telugu,J. D. Chakravarthi,Sai Akshitha
Devarakondalo Vijay Premakatha,11-03-2021,Telugu,,Mouryani
Nenu Leni Na Premakatha,08-10-2021,Telugu,Naveen Chandra,Gayathri Suresh
Guduputani,17-09-2021,Telugu,Saptagiri,Neha Solanki
Dear Megha,03-09-2021,Telugu,Thrigun,Megha Akash
Cycle,15-01-2021,Telugu,Mahat Raghavendra,Punarnavi Bhupalam
The Rose Villa,01-10-2021,Telugu,Dheekshith Shetty,Swetaa Varma
Cauliflower,26-11-2021,Telugu,Sampoornesh Babu,Vasanthi Krishnan
Rakshasi,22-01-2021,Telugu,,Poorna
Pranavam,05-02-2021,Telugu,Gemini Suresh,Gayatri Rema
Doubt,04-07-2021,Telugu,Y. Nithin,
Itlu Amma,08-10-2021,Telugu,Posani Krishna Murali,Revathi
The Scene,01-06-2021,Telugu,Camp Sasi,
Missing,19-11-2021,Telugu,Harsha Narra,Nikkesha Rangwala
Ravana Lanka,19-11-2021,Telugu,Krish Bandipalli,
Tera Venuka,01-01-2021,Telugu,Thummala Narasimha Reddy,Vishaka Dimaan
Ksheera Sagara Madhanam,06-08-2021,Telugu,,Charishma Sreekar
Journalist,05-02-2021,Telugu,Ramki,Tashu Kaushik
Madhura Wines,22-10-2021,Telugu,Sunny Naveen,Seema Chowdary
Sita on the Road,05-03-2021,Telugu,,Kalpika Ganesh
Wild World,20-01-2021,Telugu,,
Priyuraalu,17-09-2021,Telugu,,Kamakshi Bhaskarla
Chandamama raave ASAP,02-07-2021,Telugu,,Divya Sripada
